CÓDIGO DE PARADA;PARADA;COORENADA X;COORDENADA Y;LÍNEA-DESTINO;;
598;Avenida Burgos 27;-4,730004;41,665565;18-La Cistérniga;;
600;Avenida Burgos 32, frente Policía Municipal;-4,731593;41,663068;18-La Overuela ;;
601;Avenida Burgos 39 ;-4,727944;41,668287;18-La Cistérniga;;
603;Avenida Burgos 54;-4,729606;41,665443;18-La Overuela ;;
604;Avenida Burgos 72;-4,727516;41,668162;18-La Overuela ;;
599;Avenida Burgos esquina calle La Victoria;-4,733139;41,661489;18-La Cistérniga;;
596;Avenida Burgos junto Policía Municipal;-4,731790;41,663143;18-La Cistérniga;;
597;Avenida de Burgos 14, esquina calle Pisuerga;-4,732911;41,661367;18-La Overuela ;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;16-Colegio San Juan de Dios;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;P1-Rubia;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;P2-Covaresa;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;P6-Polígono Argales;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;P7-Polígono Argales;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;PSC1-Polígono San Cristóbal;;
930;Avenida de El Norte de Castilla 14;-4,733531;41,627089;PSC3-Parquesol;;
928;Avenida de El Norte de Castilla 19, esquina calle Forja;-4,734484;41,624400;16-Plaza España ;;
927;Avenida de El Norte de Castilla 47, frente Asprona;-4,736098;41,620485;16-Plaza España ;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;16-Colegio San Juan de Dios;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;P1-Rubia;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;P2-Covaresa;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;P6-Polígono Argales;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;P7-Polígono Argales;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;PSC1-Polígono San Cristóbal;;
931;Avenida de El Norte de Castilla 48, Asprona;-4,736277;41,620464;PSC3-Parquesol;;
932;Avenida de El Norte de Castilla parcela 94;-4,734695;41,624287;16-Colegio San Juan de Dios;;
932;Avenida de El Norte de Castilla parcela 94;-4,734695;41,624287;P1-Rubia;;
932;Avenida de El Norte de Castilla parcela 94;-4,734695;41,624287;P2-Covaresa;;
932;Avenida de El Norte de Castilla parcela 94;-4,734695;41,624287;P6-Polígono Argales;;
932;Avenida de El Norte de Castilla parcela 94;-4,734695;41,624287;P7-Polígono Argales;;
932;Avenida de El Norte de Castilla parcela 94;-4,734695;41,624287;PSC1-Polígono San Cristóbal;;
